Прайс лабораторных анализов;;;;;;;
1. ОБЩЕКЛИНИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ;;;;;;;
;;;;;;;
1.1. Общеклинические исследования крови;;;;;;;
* тест TRO выполняется только в комплексе с тестом №5;;;;;;;
;;;;;;;
22;;;Креатинин (Creatinine);;Сыворотка крови;1 к.д.;205,00
26;;;Мочевина (Urea);;Сыворотка крови;1 к.д.;210,00
27;;;Мочевая кислота (Uric Аcid);;Сыворотка крови;1 к.д.;205,00
40CKDEPI;;;Клубочковая фильтрация, расчет по формуле CKD-EPI – креатинин (Estimated Glomerular Filtration Rate, eGFR, CKD-EPI Creatinine Equation);;Сыворотка крови;1 к.д.;245,00
1525;;;Цистатин С (Cystatin C);;Сыворотка крови;1 к.д.;850,00
1526;;;Клубочковая фильтрация, расчет по формуле CKD-EPI – цистатин С (Estimated Glomerular Filtration Rate, eGFR, CKD-EPI Сystatin C Equation);;Сыворотка крови;1 к.д.;855,00
РАСЧЕТCKDEPI1;;;Клубочковая фильтрация CKD-EPI, расчет;;Сыворотка крови;1 к.д.;1,00
РАСЧЕТGRF;;;Клубочковая фильтрация (рСКФ педиатр., формула Шварца 2009);;Сыворотка крови;1 к.д.;50,00
1646GRF;;;Оценка скорости клубочковой фильтрации у детей по формуле Шварца, креатинин (Estimation of glomerular filtration rate in children using the Schwartz formula, creatinine);;Сыворотка крови;1 р.д.;240,00
4.5. Пигменты;;;;;;;
* Тест N-BINDR выполняется только в  комплексе с  тестами №13 и №14;;;;;;;
13;;;Билирубин общий (Bilirubin Total);;Сыворотка крови;1 к.д.;200,00
14;;;Билирубин прямой (Билирубин конъюгированный, связанный) (Direct Bilirubin, DBIL, Conjugated Bilirubin );;Сыворотка крови;1 к.д.;200,00
4.6. Ферменты;;;;;;;
;;;;;;;
8;;;Аланинаминотрансфераза (АлАТ, АЛТ, глутамино-пировиноградная трансаминаза, ГПТ) (Alanine Aminotransferase, ALT, Serum Glutamic Pyruvic Transaminase, SGPT );;Сыворотка крови;1 к.д.;200,00
9;;;Аспартатаминотрансфераза (АсАТ, АСТ, глутамино-щавелевоуксусная трансаминаза, ГЩТ) (Aspartateaminotransferase, AST, Serum Glutamicoxaloacetic Transaminase, SGOT );;Сыворотка крови;1 к.д.;200,00
11;;;Альфа-амилаза (α-амилаза, диастаза) (Аlpha-Аmilase, α-Amylase);;Сыворотка крови;1 к.д.;225,00
12;;;Альфа-амилаза панкреатическая (P-изофермент амилазы) (Pancreatic α-Amylase);;Сыворотка крови;1 к.д.;325,00
15;;;Гамма-глутамилтранспептидаза (ГГТ, глутамилтранспептидаза) (Gamma-Glutamyl Transferase, GGT);;Сыворотка крови;1 к.д.;205,00
19;;;Креатинкиназа (Креатинфосфокиназа, КК, КФК) (Creatine Kinase, CK, Creatine Phosphokinase, CPK);;Сыворотка крови;1 к.д.;305,00
20;;;Креатинкиназа-МВ (Креатинфосфокиназа-МВ, КК-МВ, КФК-МВ) (Creatine Kinase-MB, CK-MB, Creatine Phosphokinase-MB, CPK-MB.);;Сыворотка крови;1 к.д.;420,00
23;;;Липаза (Триацилглицеролацилгидролаза) (Lipase);;Сыворотка крови;1 к.д.;390,00
24;;;Лактатдегидрогеназа (ЛДГ, L-лактат, НАД+Оксидоредуктаза) (Lactate Dehydrogenase, LDH);;Сыворотка крови;1 к.д.;205,00
34;;;Холинэстераза (S-Псевдохолинэстераза, холинэстераза II, S-ХЭ, ацилхолингидролаза) (Cholinesterase, Pseudocholinesterase, PCHE);;Сыворотка крови;1 к.д.;290,00
36;;;Фосфатаза щелочная (ЩФ) (Alkaline Phosphatase, ALP);;Сыворотка крови;1 р.д.;205,00
1676;;;Коэнзим Q10 в крови;;Плазма крови;до 5 к.д.;2 990,00
1418;;;Костный фермент щелочной фосфатазы (Остаза);;Сыворотка крови;до 8 р.д.;2 990,00
2039;;;(Chromolab) Маркеры дисбиоза (арабиноза, арабинитол) в моче, ГХ-МС;;Моча;до 9 к.д.;3 750,00
4.7. Оценка состояния инкреторной и секреторной ф-ций ЖКТ;;;;;;;
;;;;;;;
216;;;Гастрин (Gastrin);;Сыворотка крови;до 4 р.д.;810,00
294;;;Пепсиноген I (Pepsinogen I);;Сыворотка крови;до 7 р.д.;1 010,00
295;;;Пепсиноген II (Pepsinogen II);;Сыворотка крови;до 7 р.д.;1 010,00
2111;;;Пепсиногены I и II с расчетом соотношения (Пепсиноген I/Пепсиноген II) (Pepsinogen I/Pepsinogen II, PG1/PG2);;Сыворотка крови;до 7 р.д.;2 160,00
ГАСТР;;;Гастропанель (GastroPanel);;Плазма крови;до 7 к.д.;4 890,00
978;;;Стимуляционная проба – Гастрин-17 (стимулированный) (Gastrin-17 Stimulation Test, Gastrin-17, G-17);;Плазма крови;до 7 к.д.;1 255,00
4.8. Маркеры метаболизма костной ткани;;;;;;;
;;;;;;;
146;;;Остеокальцин (Костный Gla белок) (Оsteocalcin, N-Osteocalcin, Bone Gla Protein, BGP);;Сыворотка крови;1 к.д.;845,00
928;;;25-OH витамин D общий (25-OH Vitamin D Total, 25(OH)D, 25-Hydroxycalciferol);;Сыворотка крови;1 к.д.;2 065,00
203;;;С-концевые телопептиды коллагена I типа (бета-CrossLaps, С-терминальный телопептид, СТ) (Carboxyterminal Cross-linking Telopeptide of Bone Collagen, Collagen Cross-linked C-Telopeptide, Beta-Cross Laps, β-CrossLaps Serum, C-Telopeptide, Crosslaps, Type 1 Collagen, СТ, b-СTx Serum);;Плазма крови;до 3 р.д.;1 120,00
204;;;N-терминальный пропептид проколлагена 1 общий (Procollagen Type 1 N-terminal Propeptide, P1NP, Total);;Сыворотка крови;1 к.д.;1 775,00
147;;;Дезоксипиридинолин (ДПИД) в моче (Deoxypyridinolinein, DPD, Urine);;Моча;1 р.д.;1 650,00
4.9. Антиоксидантный статус;;;;;;;
;;;;;;;
1231;;;Глутатион общий (Glutathione Total);;Кровь;до 5 к.д.;2 190,00
1679;;;8-ОН-дезоксигуанозин в крови;;Плазма крови;до 5 к.д.;2 690,00
1681;;;Малоновый диальдегид;;Плазма крови;до 5 к.д.;2 990,00
1370;;;Комплексная оценка оксидативного стресса;;"Плазма крови; Сыворотка крови";до 5 к.д.;13 990,00
1741;;;(Chromolab) Глутатион свободный (восстановленный, GSH) в крови (Glutathione reduced), ВЭЖХ-ФЛ;;Кровь;до 8 р.д.;3 470,00
4.10. Витамины;;;;;;;
;;;;;;;
117;;;Витамин В12 (цианокобаламин, кобаламин) (Cobalamin);;Сыворотка крови;1 к.д.;885,00
118;;;Фолиевая кислота  (Folic Acid);;Сыворотка крови;1 к.д.;1 130,00
928;;;25-OH витамин D общий (25-OH Vitamin D Total, 25(OH)D, 25-Hydroxycalciferol);;Сыворотка крови;1 к.д.;2 065,00
1317B12;;;Активный витамин В12 (Голотранскобаламин, Active-B12, Holotranscobalamin);;Сыворотка крови;до 4 к.д.;1 520,00
877;;;Витамин К1 в сыворотке (филлохинон)  (Vitamin K1, Phylloquinone, Serum);;Сыворотка крови;до 5 к.д.;2 565,00
931;;;Витамин А в сыворотке (ретинол) (Vitamin A, Retinol, Serum);;Сыворотка крови;до 5 к.д.;2 565,00
932;;;Витамин Е в сыворотке (альфа-токоферол) (Vitamin E, alpha-Tocopherol, Serum);;Сыворотка крови;до 5 к.д.;2 565,00
1581;;;Омега-3 индекс (Omega-3 Index);;Кровь;до 5 к.д.;5 110,00
1587;;;Жирные кислоты, профиль: омега-3,-6,-9, плазма (Fatty acids panel, omega-3, -6, -9, plasma);;Плазма крови;до 5 к.д.;9 820,00
1604;;;Витамин В1 (тиамин);;Плазма крови;до 5 к.д.;2 565,00
1609;;;Витамин В2 (рибофлавин);;Плазма крови;до 5 к.д.;2 565,00
1610;;;Витамин В3 (никотинамид);;Плазма крови;до 5 к.д.;2 565,00
1608;;;Витамин В5 (пантотеновая кислота);;Плазма крови;до 5 к.д.;2 565,00
1605;;;Витамин В6 (пиридоксальфосфат);;Плазма крови;до 5 к.д.;2 565,00
1611;;;Витамин В7, Н (биотин);;Плазма крови;до 5 к.д.;2 565,00
1606;;;Витамин С (аскорбиновая кислота);;Плазма крови;до 5 к.д.;2 565,00
1614;;;Ретинил пальмитат;;Сыворотка крови;до 5 к.д.;2 565,00
1615;;;Бета-каротин;;Сыворотка крови;до 5 к.д.;2 565,00
1603;;;1,25-дигидроксивитамин D3 (1,25-dihydroxivitamin D3);;Сыворотка крови;до 5 к.д.;2 870,00
1616;;;Витамин 25(OH)D2 и 25(OH)D3, раздельное определение (ВЭЖХ - МС/МС);;Сыворотка крови;до 5 к.д.;6 435,00
1827;;;Жиро- и водорастворимые витамины;;"Плазма крови; Сыворотка крови";до 4 р.д.;23 875,00
1828;;;Жирорастворимые витамины;;Сыворотка крови;до 4 р.д.;8 350,00
1829;;;Водорастворимые витамины;;"Плазма крови; Сыворотка крови";до 4 р.д.;15 555,00
1830;;;Нейротропные витамины;;"Плазма крови; Сыворотка крови";до 4 р.д.;5 235,00
ОБС156;;;Витамин Д и минеральный обмен;;Сыворотка крови;1 к.д.;3 130,00
1613;;;Витамин К2 (менахинон-4) (Vitamin K2, Menaquinone-4, serum);;Сыворотка крови;до 5 к.д.;2 090,00
1661;;;Витамин К2, Менахинон-7, сыворотка (Vitamin K2, Menaquinone-7, serum);;Сыворотка крови;до 5 к.д.;2 090,00
1613/61;;;Витамин К2: МК-4 и МК-7, сыворотка (Vitamin K2: MK-4 and  MK-7, serum);;Сыворотка крови;до 5 к.д.;3 990,00
0004НМУ;;;Витамины группы В (В1, В2, В3, В5, В6, В7, В9, В12) (B vitamins (B1, B2 ,B3, B5, B6, B7, B9, B12));;"Плазма крови; Сыворотка крови";до 5 к.д.;16 535,00
1794;;;(Chromolab) Омега-3 индекс - отношение эйкозапентаеновой (EPA), докозапентаеновой (DPA) и докозагексаеновой (DHA) жирных кислот к суммарному содержанию жирных кислот в цельной крови и эритроцитарных мембранах: оценка рисков возникновения сердечно-сосудистых заболеваний и инфаркта миокарда, ГХ-ПИД;;Кровь;до 6 к.д.;5 720,00
1796;;;(Chromolab) Витамин B6 (пиридоксаль-5-фосфат) в плазме крови, ВЭЖХ-МС/МС;;Плазма крови;до 6 к.д.;2 940,00
1798;;;(Chromolab) Жирорастворимые витамины: A (ретинол), D (25-OH D2/D3 суммарно), E(альфа-токоферол), K1 (филлохинон) - в крови, ВЭЖХ-МС/МС ((Chromolab) Fat-soluble vitamins: A (retinol), D (25-OH D2/D3 total), E (alpha-tocopherol), K1 (phylloquinone) - in the blood, HPLC-MS/MS);;Сыворотка крови;до 6 к.д.;8 995,00
1861;;;"(Chromolab) Витамины группы B: B1(тиамин-пирофосфат), B2(ФАД), B3(ниацин), B5(пантотеновая кислота), B6(пиридоксаль-5-фосфат), B7(биотин), B9(фолиевая кислота), B12(кобаламин) в крови, ВЭЖХ-МС/МС; ИХМ ((Chromolab) B vitamins: B1(thiamine pyrophosphate), B2(FAD), B3(niacin), B5(pantothenic acid), B6(pyridoxal-5-phosphate), B7(biotin), B9(folic acid), B12(cobalamin) in blood, HPLC-MS/MS; IHM)";;;до 8 к.д.;8 320,00
4.11. Неорганические вещества;;;;;;;
* тест 155  выполняется при одновременном заказе тестов №48 и №49;;;;;;;
39;;;Калий/Натрий/Хлор в сыворотке крови (К+/Potassium, Na+/Sodium, Сl-/Chloride, Serum);;Сыворотка крови;1 к.д.;295,00
37;;;Кальций общий (Ca) (Calcium Total);;Сыворотка крови;1 к.д.;230,00
37/10;;;Кальций корректированный по альбумину;;Сыворотка крови;1 р.д.;480,00
165;;;Кальций ионизированный (Ca2+, cвободный кальций) (Ionized Calcium, Free Calcium);;Сыворотка крови;до 2 р.д.;465,00
40;;;Магний (Мg) в сыворотке крови  (Magnesium (Mg), Serum);;Сыворотка крови;1 к.д.;260,00
41;;;Фосфор неорганический (P) (Phosphorus (P));;Сыворотка крови;1 к.д.;255,00
48;;;Железо (Fe) в сыворотке крови  (Iron (Fe), Serum);;Сыворотка крови;1 к.д.;245,00
49;;;Латентная (ненасыщенная) железосвязывающая способность сыворотки крови (ЛЖСС, НЖСС) (Unsaturated Iron Binding Capacity, UIBC);;Сыворотка крови;1 к.д.;576,00
1693;;;Аммиак в плазме крови (Ammonia in blood plasma);;Плазма крови;до 3 к.д.;590,00
4.12. Специфические белки;;;;;;;
;;;;;;;
42;;;Антистрептолизин-О (АСЛ-О, АСЛО) (Antistreptolysin-O, ASO);;Сыворотка крови;1 к.д.;435,00
43;;;С-реактивный белок (СРБ) (C-Reactive Protein, CRP);;Сыворотка крови;1 к.д.;375,00
1643;;;Высокочувствительный С-реактивный белок (кардио);;Сыворотка крови;1 к.д.;630,00
